feature_1,feature_2,feature_3,feature_4,feature_5,category
15795,860,76820,54886,6265,beta
82386,37194,87498,44131,60263,alpha
16023,41090,67221,64820,769,alpha
59735,62955,64925,67969,5311,alpha
83104,53707,85305,28693,71932,alpha
93016,25658,84478,18431,2747,alpha
59150,65725,84654,35773,67435,alpha
56886,66803,31551,11394,69092,alpha
3890,41606,96276,80038,87313,gamma
10627,8792,73969,43001,76552,beta
23897,68148,23483,48555,17159,alpha
80077,35920,92067,67121,69479,beta
89475,19457,66557,77189,78953,alpha
52995,40757,9692,45758,72409,beta
71211,65697,37065,92093,99299,beta
32606,11534,94663,40397,91387,gamma
1016,89789,55591,89812,23247,alpha
24300,74065,82798,9268,86807,beta
12185,63704,86779,39099,8571,beta
38044,51214,61228,48984,40774,alpha
2568,62592,67563,2695,48190,alpha
5258,87538,39504,33159,13986,alpha
61858,12666,38660,3561,26854,gamma
64505,52251,22662,8392,30535,alpha
78603,52256,89135,35222,77373,alpha
79575,96354,84651,63335,10965,beta
24538,70592,98018,8110,79309,gamma
27266,52992,82948,98806,6910,alpha
90982,206,87054,87897,23419,gamma
50636,50015,54268,87939,18141,alpha
80356,71910,56044,67214,33827,alpha
55820,62623,81734,75450,93426,alpha
22299,43585,64044,42557,49080,beta
2693,95003,95259,69163,25939,alpha
48925,42941,21834,18047,26105,alpha
75766,15707,21976,44262,23776,beta
30080,66842,61373,6776,92787,beta
55016,9474,58053,21959,5530,alpha
94856,3748,97504,98098,13545,gamma
66199,34766,73530,93557,61087,alpha
95839,68840,54384,51005,46576,gamma
39353,62003,83211,52733,65318,beta
89474,23664,67172,85616,93264,beta
26736,94209,854,90084,38623,gamma
7392,55680,46717,87092,50859,beta
26309,87455,63734,70467,52662,alpha
98506,12688,25342,37157,67863,alpha
52083,65733,89045,34698,80623,beta
22671,25184,93384,42107,86202,beta
51663,15708,91906,49811,2811,alpha
56250,72082,34754,95742,11411,gamma
2911,67270,83763,8680,84896,beta
83879,71295,88614,11111,37504,gamma
1802,8155,73656,39384,47254,gamma
21918,85981,60713,30306,16646,gamma
46843,96601,90735,16371,77371,alpha
2049,31616,20932,29855,61434,alpha
72694,43016,7400,42642,15151,gamma
51407,66690,4499,6295,59040,beta
12183,29299,12874,32711,5539,alpha
53351,61267,48354,2557,38360,alpha
82018,2200,68497,46975,21357,alpha
77505,2869,61135,50108,94179,alpha
90272,38467,23328,91412,86831,gamma
3987,58871,22399,46214,99522,gamma
86416,70271,44064,70091,40818,gamma
45525,19830,17429,6893,79909,gamma
47333,3436,74290,76213,5895,gamma
19738,30746,49377,48404,54045,beta
97888,39790,5600,94660,93179,gamma
40764,74543,45714,56835,73744,beta
56491,18589,43484,82989,36212,alpha
43525,47202,32635,63208,33828,beta
18711,3420,96752,301,45236,beta
66235,54240,65726,10492,6102,gamma
50336,85314,26641,34584,32745,beta
23093,66105,51885,36631,72991,beta
4014,11093,18070,35777,56958,beta
82074,10729,99713,45017,66320,alpha
27751,78069,54748,5801,19190,gamma
49689,50993,29592,10647,8716,beta
88891,87545,89912,70316,2368,gamma
77575,6655,70031,76429,91083,alpha
87922,55766,13403,32097,78657,alpha
10966,99157,93848,52921,49726,beta
50300,22677,55609,96825,56661,beta
31024,70313,53006,95285,15338,beta
68027,92772,80135,19508,3051,beta
48747,87142,87235,54021,66412,gamma
58335,56179,32093,69678,80738,beta
39734,72615,73523,94476,17019,alpha
83613,91794,86672,73847,82750,gamma
79634,28251,25945,90852,32217,gamma
8308,5949,51990,1150,89480,beta
74740,66617,94841,16896,46175,alpha
7805,5237,20056,45543,56556,alpha
3343,13500,53222,29375,9662,beta
16964,59638,73666,85067,67215,beta
69042,13284,72789,84664,93468,alpha
61389,9435,54340,44078,78832,alpha
51293,95981,78781,60403,29124,beta
95435,43919,35247,94758,91747,beta
62752,56573,59101,26646,23049,alpha
79605,98116,97379,68385,40158,gamma
65417,23289,9823,60160,41975,beta
9540,16364,4611,27663,51991,alpha
57679,30977,94704,49115,91007,beta
88223,60890,66387,18071,59275,beta
72369,11938,35195,91680,4000,alpha
70588,93610,97856,38304,69449,gamma
82986,89643,20764,86027,38494,alpha
3373,12161,97532,92658,27350,beta
93008,94297,25351,88668,15305,alpha
